path	uploaded_at
ip-l63/L63-S0308-AULA1-ESTUDO-DIRIGIDO.pdf	2026-08-03T22:31:12Z
instituto-preparatorio/IP_Estudo_Dirigido_Educacao_Infantil_Prova_Dissertativa.pdf	2026-08-11T23:58:07Z
ip-l63/L63-S0308-AULA1-MAPA-MENTAL.png	2026-08-03T22:31:12Z
ip-l63-dissertativa/Como_gabaritar_a_prova_dissertativa_para_professores.mp3	2026-08-10T22:48:56Z
instituto-preparatorio/IP_Mapa Mental_Aula Ketiene.pdf	2026-08-11T23:58:07Z
ip-l63-dissertativa/IPP_Estudo_Dirigido_Entendendo_a_Prova_Dissertativa.pdf	2026-08-10T22:48:56Z
ip-l63-dissertativa/IPP_L63_Semana da Dissertativa_aula1_Mapa Mental.pdf	2026-08-10T22:48:56Z
instituto-preparatorio/IP_Audiocast_Aula Ketiene.mp3	2026-08-11T23:58:07Z
ip-l63/L63-ANTICIP-S0308-AULA3-PROF.png	2026-08-01T21:37:17Z
UM-L3/UM-L3-FEED-1.png	2026-07-16T01:35:21Z
ip-l63/L63-ANTICIP-S0308-AULA2-PROF.png	2026-08-01T21:37:17Z
ip-l63/L63-S0308-AULA1-AUDIOCAST.mp3	2026-08-03T22:31:12Z
ip-l63/L63-TEMAS-SEMANA-0308.png	2026-08-01T21:55:18Z
ip-l63/L63-ANTICIP-S0308-AULA1-PROF.png	2026-08-01T21:37:17Z
